id,title,link,author,tags,chapters,subscribers,views,comments,words
279545,When Destiny Calls,/story/view/279545,NutellaCookie,"donghae,eunhae,hyukjae,haehyuk",40,6493,171950,5173,143686
391320,The P0rn Business,/story/view/391320,FirstAnothersujufan,"eunhae,romance,haehyuk",38,6370,148100,4066,84550
294513,My Boyfriend Is A Devil,/story/view/294513,bluestee,"donghae,eunhae,eunhyuk,fantasy,haehyuk",35,5670,148100,2842,104082
754095,When Love Strikes Like A Baseball Bat,/story/view/754095,FirstAnothersujufan,"eunhae,romance,haehyuk",28,5599,102100,1874,75087
192002,In Love With a Mobster,/story/view/192002,bluestee,"donghae,eunhae,eunhyuk,haehyuk",50,5430,102100,2762,152456
873365,Love Thy Neighbour,/story/view/873365,BabyHae27,"donghae,eunhae,hyukjae,,haehyuk",21,4838,91230,1555,60645
1020727,Second Place,/story/view/1020727,mlly09,"angst,donghae,eunhae,eunhyuk,romance,haehyuk,yewook",4,4514,55210,569,41988
297889,Between Betrayal and Lust,/story/view/297889,RC_Lillie,"dbsk,donghae,eunhae,hyukjae,shinee,snsd,superjunior",140,4248,359050,13488,139475
501991,Faceless,/story/view/501991,NutellaCookie,"donghae,eunhae,hyukjae,haehyuk",28,4179,97750,4230,109613
471318,The Curse,/story/view/471318,crime-tsumi,"donghae,eunhae,eunhyuk,romance,superjunior,supernatural",29,4153,97750,2887,117169
1007354,Eighteen,/story/view/1007354,ThanhXuan,eunhae,8,3860,48690,504,37325
602980,scribbles & scrawls,/story/view/602980,donghaeyah,"donghae,eunhae,eunhyuk,fluff",6,3826,40240,594,27816
504236,Inked,/story/view/504236,donghaeyah,"donghae,eunhae,eunhyuk,romance",17,3764,67790,1447,75310
392206,The Principal's Son and The Star Student,/story/view/392206,FirstAnothersujufan,"eunhae,romance,haehyuk",13,3568,38010,496,42213
985531,Mature,/story/view/985531,mlly09,"donghae,eunhae,hyukjae,kyuhyun,sungmin",4,3567,35130,273,36536
525538,Lust Or Love,/story/view/525538,NutellaCookie,"donghae,eunhae,hyukjae,haehyuk",4,3455,47440,626,28776
822019,Courage,/story/view/822019,Caande,"donghae,eunhae,eunhyuk,superjunior",37,3385,66170,858,161170
48632,Let me be your boyfriend,/story/view/48632,willhaebemine,"donghae,eunhae,fluff,hyukjae,romance,superjunior,hyukhae",78,3244,172580,3182,86160
124563,The Stray Dog,/story/view/124563,shanacats,"angst,eunhae,suju,haehyuk",34,3243,64570,1743,66416
159731,Ship O'hoy!,/story/view/159731,voodoobaby,"donghae,eunhae,eunhyuk,friendship,kyumin,romance,crack",60,3208,133020,4765,74285
746195,Unbreakable,/story/view/746195,bluestee,"donghae,eunhae,eunhyuk,haehyuk",24,3190,89590,2347,80237
459525,Anti-Romantic,/story/view/459525,donghaeyah,"donghae,eunhae,eunhyuk",3,3156,40090,337,20661
479800,In too deep,/story/view/479800,RC_Lillie,"donghae,eunhae,heechul,hyukjae,kyuhyun,sungmin,superjunior",72,3144,215010,7708,74770
53508,OMG! (Oh My Girl!),/story/view/53508,ifallelsefails,"comedy,eunhae,fantasy,kyuhyuk,romance,yoona,haehyuk",44,3142,104820,2269,149342
164643,the right mistake I made,/story/view/164643,willhaebemine,"donghae,eunhae,hyukjae,superjunior,",43,3098,124630,4876,44359
389872,stumbling down a winding road,/story/view/389872,donghaeyah,"angst,donghae,eunhae,eunhyuk,friendship,romance",14,3088,56600,730,67179
433055,Hunting my .(y) Babysitter,/story/view/433055,crime-tsumi,"donghae,eunhae,eunhyuk,kyumin,romance,superjunior,haehyuk",28,3072,56600,1998,96248
466469,My Wife Is A Man,/story/view/466469,FirstAnothersujufan,"eunhae,haehyuk",6,3047,34750,672,15749
697966,Conversations,/story/view/697966,donghaeyah,"donghae,eunhae,eunhyuk",6,3034,38780,474,18143
